"dataset" "time_mean" "maxResidentSetSize_mean" "time_std.error" "maxResidentSetSize_std.error"
"bach-mammary" 43.33 965.1796875 0.394250343479029 0.0340538979964115
"bacher-tcell" 170.326666666667 2437.75260416667 1.34175672575587 0.197775271586756
"ernst-sperm" 114.67 2512.08072916667 1.86614576065215 0.0666101852209826
"paul-hsc" 13.5233333333333 306.263020833333 0.38885872898922 0.0601923142256574
"zeisel-brain" 5.59333333333333 158.204427083333 0.0554777232569773 0.0500413511733741
"zilionis-lung" 183.77 2600.66536458333 2.46159162602843 0.0455729166666667
